Optimizador,Función de activación,Épocas promedio,ECM Promedio,ECM_original Promedio
SGD,tanh,64.25,1.575659528374672,50566592.163054034
SGD,sigmoid,15.0,1.6608785152435304,49825677.424775556
SGD,ReLU,15.0,1.7856206595897675,55528473.22328309
SGD,LeakyReLU,15.0,1.6723236292600632,53208593.39558449
RMSPROP,tanh,15.0,1.12267307639122,50956952.10072021
RMSPROP,sigmoid,15.0,1.5037910103797913,47144233.709075525
RMSPROP,ReLU,15.0,1.3447938561439514,54818527.13690933
RMSPROP,LeakyReLU,15.0,1.3837179690599442,66195680.606422976
ADAM,tanh,15.0,1.3214172780513764,49106173.57411228
ADAM,sigmoid,15.0,1.4450718104839324,43604389.89198159
ADAM,ReLU,15.0,1.4301146000623703,49276274.99978456
ADAM,LeakyReLU,15.0,1.1810440629720689,48737411.415215895
